,latitude,longitude,bioma,area(m²),diasemchuva,precipitacao,riscofogo
244,-5.93,-44.13,Cerrado,1224495.430650985,0.0,0.0,1.0
245,-5.935,-43.41,Cerrado,2448969.2328706067,0.0,0.0,1.0
246,-5.9222220000000005,-45.698333,Cerrado,19592163.894551747,0.0,0.0,1.0
247,-5.94,-45.15,Cerrado,1224473.8022174314,0.0,0.0,1.0
248,-5.94,-45.025,Cerrado,2448947.6044370537,0.0,0.0,1.0
249,-5.930714,-43.361429,Cerrado,12244932.605376713,0.0,0.0,1.0
250,-5.948333,-43.315,Cerrado,6122238.949759779,0.0,0.0,1.0
251,-5.94,-43.225,Cerrado,2448947.6044370537,0.0,0.0,1.0
252,-5.955,-46.545,Cerrado,3673334.711212925,0.0,0.8,1.0
253,-5.95,-46.17,Cerrado,3673356.4123329218,0.0,0.0,1.0
254,-5.95,-46.14,Cerrado,1224452.1374450377,0.0,0.0,1.0
255,-5.955,-45.135,Cerrado,4897765.147540157,0.0,0.0,1.0
256,-5.95,-45.01,Cerrado,1224452.1374450377,0.0,0.0,1.0
257,-5.968846,-46.101923,Cerrado,12244108.544417912,0.0,0.0,1.0
258,-5.96,-45.735,Cerrado,2448860.8726500818,0.0,0.0,1.0
259,-5.96,-45.29,Cerrado,1224430.4363250409,0.0,0.0,1.0
260,-5.97,-45.1625,Cerrado,7346430.38305523,0.0,0.0,1.0
261,-5.9740910000000005,-45.879545,Cerrado,8570795.497977382,0.0,0.0,1.0
262,-5.97,-45.01,Cerrado,1224408.6988651087,0.0,0.0,1.0
263,-5.975,-44.44,Cerrado,2448795.6239314447,0.0,0.0,1.0
264,-5.97,-44.305,Cerrado,2448817.3977324083,0.0,0.0,1.0
265,-5.975,-42.635,Cerrado,3673182.548994495,0.0,0.0,1.0
266,-5.97,-42.595,Cerrado,2448817.3977324083,0.0,0.0,1.0
267,-5.95875,-42.41625,Cerrado,28162289.674367804,0.0,0.0,1.0
268,-5.9655879999999994,-45.677941,Cerrado,17141917.09419149,0.0,0.0,1.0
269,-5.99,-46.645,Cerrado,2448730.2298486843,0.0,0.0,1.0
270,-5.99,-45.645,Cerrado,2448730.2298443043,0.0,0.0,1.0
271,-5.99,-45.17,Cerrado,1224365.1149232471,0.0,0.0,1.0
272,-5.99,-44.275,Cerrado,2448730.2298486843,0.0,0.0,1.0
273,-5.990714,-44.105,Cerrado,6121803.6917899875,0.0,0.0,1.0
274,-5.99,-42.62,Cerrado,1224365.1149243421,0.0,0.0,1.0
275,-6.0,-45.9,Cerrado,1224343.2684380312,0.0,0.0,1.0
276,-6.0,-45.11,Cerrado,1224343.2684391264,0.0,0.0,1.0
277,-6.0025,-45.23,Cerrado,8570446.53570438,0.0,0.0,1.0
278,-6.0,-43.776666999999996,Cerrado,8570380.959918655,0.0,0.0,1.0
279,-6.005,-42.745,Cerrado,3673007.9224955137,0.0,0.0,1.0
280,-6.01,-48.01,Cerrado,1224321.3856172608,0.0,0.0,1.0
281,-6.015,-46.225,Cerrado,4897241.704143251,0.0,0.0,1.0
282,-6.01,-46.08,Cerrado,3672964.15685288,0.0,0.0,1.0
283,-6.015,-45.121666999999995,Cerrado,4897219.7849836415,0.0,0.0,1.0
284,-6.01,-44.38,Cerrado,1224321.3856183565,0.0,0.0,1.0
285,-6.01,-43.71,Cerrado,1224321.3856183565,0.0,0.0,1.0
286,-6.01,-42.62,Cerrado,1224321.3856183565,0.0,0.0,1.0
287,-6.01,-42.6,Cerrado,1224321.3856183565,0.0,0.0,1.0
288,-6.03,-46.04,Cerrado,6121387.518423205,0.0,0.0,1.0
289,-6.02,-45.22,Cerrado,1224299.4664532696,0.0,0.0,1.0
290,-6.02,-44.41,Cerrado,1224299.4664532696,0.0,0.0,1.0
291,-6.02,-44.38,Cerrado,1224299.46645546,0.0,0.0,1.0
292,-6.02,-42.61,Cerrado,1224299.4664532696,0.0,0.0,1.0
293,-6.0175,-42.585,Cerrado,6121541.09791665,0.0,0.0,1.0
294,-6.045,-46.68899999999999,Cerrado,8569700.44839996,0.0,0.0,1.0
295,-6.03,-46.07,Cerrado,1224277.5109526282,0.0,0.0,1.0
296,-6.03,-45.42,Cerrado,1224277.5109526282,0.0,0.0,1.0
297,-6.03,-45.02,Cerrado,1224277.5109526282,0.0,0.0,1.0
298,-6.03,-44.44,Cerrado,1224277.5109526282,0.0,0.0,1.0
299,-6.03,-44.3775,Cerrado,12242731.01682751,0.0,0.0,1.0
300,-6.035,-42.965,Cerrado,3672788.5491778255,0.0,0.0,1.0
301,-6.035,-42.728333,Cerrado,6121343.571083083,0.0,0.0,1.0
302,-6.03,-42.625,Cerrado,2448555.0219052564,0.0,0.0,1.0
303,-6.026429,-42.605,Cerrado,3672854.488359621,0.0,0.0,1.0
304,-6.04,-46.67,Cerrado,1224255.5191131465,0.0,0.0,1.0
305,-6.048333,-46.595,Cerrado,4896955.955580968,0.0,0.8,1.0
306,-6.04,-46.08,Cerrado,1224255.519112051,0.0,0.0,1.0
307,-6.045,-45.435,Cerrado,4896978.02009375,0.0,0.0,1.0
308,-6.055,-44.528999999999996,Cerrado,7345356.707566861,0.0,0.0,1.0
309,-6.04,-44.43,Cerrado,1224255.519112051,0.0,0.0,1.0
310,-6.04,-42.99,Cerrado,1224255.5191131465,0.0,0.0,1.0
311,-6.04,-42.605,Cerrado,2448511.038224102,0.0,0.0,1.0
312,-6.05,-46.65,Cerrado,1224233.4909359196,0.0,0.0,1.0
313,-6.06,-45.15,Cerrado,8569479.912255809,0.0,0.0,1.0
314,-6.0433330000000005,-44.99,Cerrado,8569766.423921691,0.0,0.0,1.0
315,-6.061,-44.591,Cerrado,6121057.0957593275,0.0,0.0,1.0
316,-6.055,-44.44,Cerrado,4896889.834704972,0.0,0.0,1.0
317,-6.05,-44.4,Cerrado,1224233.490934824,0.0,0.0,1.0
318,-6.05,-42.98,Cerrado,1224233.4909359196,0.0,0.0,1.0
319,-6.06,-45.23,Cerrado,3672634.27925189,0.0,0.0,1.0
320,-6.06,-44.41,Cerrado,1224211.4264176616,0.0,0.0,1.0
321,-6.065,-44.12,Cerrado,4896801.503965212,0.0,0.0,1.0
322,-6.059667,-46.012333,Cerrado,17138937.54197127,0.0,0.0,1.0
323,-6.07,-45.62,Cerrado,1224189.325564945,0.0,0.0,1.0
324,-6.075,-44.69,Cerrado,2448356.513942713,0.0,0.0,1.0
325,-6.075,-44.085,Cerrado,3672523.702313909,0.0,0.0,1.0
326,-6.065,-43.23,Cerrado,4896801.503971783,0.0,0.0,1.0
327,-6.08,-47.53,Cerrado,1224167.188373387,29.0,0.0,1.0
328,-6.08,-45.24,Cerrado,1224167.1883755776,0.0,0.0,1.0
329,-6.08,-43.25,Cerrado,1224167.188373387,0.0,0.0,1.0
330,-6.111346,-47.640962,Cerrado,160357805.2248045,29.0,0.0,1.0
331,-6.08,-45.84,Cerrado,8569170.245951362,0.0,0.0,1.0
332,-6.093889,-45.651666999999996,Cerrado,33051848.081007466,0.0,0.0,1.0
333,-6.09,-46.58,Cerrado,3672435.044550872,0.0,0.0,1.0
334,-6.086429,-44.305,Cerrado,3672457.2180736037,0.0,0.0,1.0
335,-6.09,-42.47,Cerrado,1224145.0148495608,0.0,0.0,1.0
336,-6.1,-45.9,Cerrado,1224122.80499018,0.0,0.0,1.0
337,-6.105,-45.555,Cerrado,3672346.168777795,0.0,0.0,1.0
338,-6.105,-45.52,Cerrado,4896468.97376688,0.0,0.0,1.0
339,-6.105,-45.195,Cerrado,3672346.168774509,0.0,0.0,1.0
340,-6.105,-45.17,Cerrado,2448223.3637832343,0.0,0.0,1.0
341,-6.1110000000000015,-44.143,Cerrado,14688983.662214853,0.0,0.0,1.0
342,-6.108333,-43.221667,Cerrado,12241027.725131955,0.0,0.0,1.0
343,-6.11,-47.57,Cerrado,1224100.558793054,29.0,0.0,1.0
344,-6.11,-47.56,Cerrado,1224100.558793054,29.0,0.0,1.0
345,-6.11,-45.66,Cerrado,1224100.558793054,0.0,0.0,1.0
346,-6.11,-43.45,Cerrado,1224100.5587919587,0.0,0.0,1.0
347,-6.11,-42.485,Cerrado,2448201.117583917,0.0,0.0,1.0
348,-6.125,-47.56,Cerrado,2448134.23366456,29.0,0.0,1.0
349,-6.1165,-47.523999999999994,Cerrado,22033497.5215121,29.0,0.0,1.0
350,-6.12,-47.53,Cerrado,1224078.2762614691,29.0,0.0,1.0
351,-6.12,-45.66,Cerrado,1224078.2762636594,0.0,0.0,1.0
352,-6.12,-44.97,Cerrado,1224078.2762625641,0.0,0.0,1.0
353,-6.12,-43.46,Cerrado,1224078.2762636594,0.0,0.0,1.0
354,-6.12,-42.725,Cerrado,2448156.5525251282,0.0,0.0,1.0
355,-6.13,-47.64,Cerrado,1224055.957399805,29.0,0.0,1.0
